day,max_peak,multi,aggregation_interval,aggregation_type,C,C_reference,R,R_rel,q0,q10,q25,q50,q75,q90,q100,mean,std,var,fft1,fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10,fft11,fft12,fft1n,fft2n,fft3n,fft4n,fft5n,fft6n,fft7n,fft8n,fft9n,fft10n,fft11n,fft12n
76,38,1,30,0,-0,-0,0,0,4.81000006,4.93666673,5.09816669,5.45916671,11.0554999,11.5641666,17.8499999,7.36396192,2.94134151,8.65148988,0.139285672,0.0940942099,0.0668164982,0.0495266673,0.0456248636,0.0326216268,0.0283819897,0.024597913,0.0198571021,0.0195572706,0.020036639,0.0179757764,1,0.675548379,0.479708338,0.355576181,0.327563223,0.234206623,0.203768193,0.176600455,0.142563854,0.140411216,0.143852837,0.129056895
76,38,1,60,0,-0,-0,0,0,4.81333339,4.93999994,5.09250007,5.45000005,11.0663334,11.58,17.8499999,7.36581019,2.95107073,8.70881843,0.124300097,0.16878722,0.120152781,0.0712675923,0.0704700305,0.0690919277,0.057510499,0.0488209403,0.0513818981,0.0505626643,0.0402669949,0.0491453382,0.736430737,1,0.71185947,0.422233344,0.417508094,0.40934336,0.340727806,0.289245479,0.304418179,0.299564531,0.23856661,0.291167413
76,38,1,300,0,-0,-0,0,0,4.83000004,4.95666662,5.1013334,5.46533337,11.0424998,11.5323332,13.4159999,7.24787964,2.82857568,8.00084035,0.147709862,0.161985879,0.115210913,0.18146247,0.569554184,0.171779324,0.138809348,0.177085987,0.119792355,0.45726533,0.154767504,0.0618269255,0.25934295,0.284408198,0.20228262,0.318604402,1,0.301603129,0.243715791,0.310920351,0.21032653,0.802847812,0.27173447,0.108553193
76,38,1,900,0,-0,-0,0,0,4.85000002,4.9524666,5.14199998,5.48500001,11.0524999,11.5681668,13.4159999,7.34662154,2.90324536,8.42883364,0.146565872,0.246614104,0.22264723,0.238321226,0.359606741,0.563284389,1.14403859,0.772590691,0.217261137,0.193169834,0,0,0.128112699,0.215564498,0.194615139,0.208315723,0.314330952,0.492364849,1,0.675318731,0.189907175,0.168849054,0,0
76,38,1,1800,0,-0,-0,0,0,4.85000002,5.03200008,5.21500002,5.60100002,11.2043333,11.5678335,12.9666667,7.50855557,2.90127032,8.41736946,0.249138451,0.392679812,0.217543086,0.609735294,1.07585947,1.53906927,0.545169848,0.60380803,0.556236108,0,0,0,0.161876047,0.25514109,0.14134717,0.396171443,0.699032517,1,0.354220474,0.392320242,0.361410703,0,0,0
76,38,1,2700,0,-0,-0,0,0,4.88,4.93179997,5.15300003,5.52333331,10.3291665,11.4355997,13.4159999,7.08514581,2.80889166,7.88987234,1.13035061,1.25912568,0.972446636,0.507905953,0.890631652,0.297789023,0.246554523,0.4866489,0.48491667,0,0,0,0.897726591,1,0.772318957,0.403379868,0.707341342,0.236504605,0.195814068,0.386497477,0.385121736,0,0,0
76,38,1,3600,0,-0,-0,0,0,4.97399991,5.07600003,5.3813333,5.60100002,7.71599998,11.5712001,11.8333335,6.95231946,2.52134577,6.35718447,0.360960877,0.474404497,0.947968667,0.875183075,1.74339099,0.746990874,0.307013889,0,0,0,0,0,0.207045281,0.272115952,0.543749896,0.502000459,1,0.428470079,0.17610157,0,0,0,0,0
77,38,1,5,0,-0,-0,0,0,4.83400004,4.99600008,5.13999999,5.52599998,11.128,11.5981667,16.0466664,7.32613263,2.88332826,8.31358185,0.0546974795,0.016334022,0.01000305,0.00686166235,0.0051407094,0.00414352956,0.00331571096,0.00274810031,0.00228039846,0.00197327749,0.00179814124,0.00164957857,1,0.298624766,0.182879542,0.125447505,0.0939843929,0.0757535741,0.0606190813,0.0502418088,0.0416911069,0.0360762052,0.032874298,0.0301582191
77,38,1,10,0,-0,-0,0,0,4.84666669,4.99499989,5.14000004,5.52183337,11.1273332,11.5989997,16.0060001,7.32679573,2.88369952,8.31572293,0.0748343578,0.0343829257,0.0197535999,0.0132967511,0.0108080356,0.00953812758,0.00785399955,0.00685997949,0.00612889012,0.00560125568,0.00550916334,0.00541630329,1,0.459453741,0.263964313,0.177682438,0.144426116,0.12745653,0.104951786,0.0916688496,0.0818994148,0.0748487171,0.0736181014,0.0723772267
77,38,1,30,0,-0,-0,0,0,4.85000002,4.99833333,5.1400001,5.52399998,11.1219999,11.59,16.0060001,7.32047423,2.88296635,8.31149498,0.0928315924,0.0722177009,0.0598569409,0.0367389785,0.0426667401,0.0285887798,0.0265035961,0.0251570849,0.0193701825,0.0193463308,0.0190005218,0.017212902,1,0.777943145,0.64479063,0.395759435,0.459614437,0.307963906,0.285501901,0.27099702,0.20865938,0.208402445,0.204677323,0.185420734
77,38,1,60,0,-0,-0,0,0,4.85000002,4.99833333,5.13999999,5.51666669,11.127,11.6066667,15.88,7.31683994,2.88461195,8.32098612,0.0720995157,0.118604109,0.101982089,0.0490290244,0.0552340018,0.0665243187,0.0436375811,0.0408446722,0.0549018185,0.0482127088,0.0283344011,0.0548365794,0.607900656,1,0.859852912,0.41338386,0.465700575,0.560893878,0.367926385,0.344378222,0.462899801,0.406501168,0.238898984,0.462349743
77,38,1,300,0,-0,-0,0,0,4.878,5.00199993,5.13900003,5.52999997,11.1479999,11.6100001,14.5299997,7.39402663,2.91506777,8.49762012,0.0984130667,0.218929595,0.0968161823,0.164681076,0.475177674,0.127022863,0.148980882,0.111947303,0.096207572,0.373765321,0.122902801,0.0816021572,0.207107935,0.460732074,0.20374733,0.346567369,1,0.267316564,0.313526687,0.235590409,0.202466524,0.78658014,0.258645993,0.171729779
77,38,1,900,0,-0,-0,0,0,4.88000011,5.00119989,5.17750007,5.58866676,11.1575001,11.6063999,12.1400001,7.48463543,2.84566656,8.09781819,0.171814165,0.181170823,0.169507289,0.2162388,0.301847297,0.740533048,0.919580437,0.404773784,0.373294962,0.111211638,0,0,0.186839735,0.197014655,0.184331117,0.235149413,0.328244583,0.805294477,1,0.440172244,0.405940521,0.120937368,0,0
77,38,1,1800,0,-0,-0,0,0,4.88000011,4.97459996,5.12499994,5.54916674,11.3008332,11.6563668,12.1400001,7.37075695,2.91971967,8.52476297,0.156391779,0.386276712,0.322475578,0.342327719,1.35388103,0.417335623,1.01063736,0.546072147,0.0837291732,0,0,0,0.115513679,0.285310675,0.238186052,0.252849187,1,0.308251325,0.74647427,0.403338353,0.0618438187,0,0,0
77,38,1,2700,0,-0,-0,0,0,4.95666669,5.07093343,5.22000003,5.60200008,10.6329999,11.4016003,11.98,7.30221876,2.66022496,7.07679685,0.125779219,1.66163431,1.13827062,0.604351775,0.343072961,0.737967948,0.548528406,0.286088943,0.155739595,0,0,0,0.0756960895,1,0.685030764,0.363709254,0.206467187,0.444121757,0.330113794,0.172173228,0.0937267569,0,0,0
77,38,1,3600,0,-0,-0,0,0,4.88000011,4.96566666,5.0950001,5.52500004,11.2809999,11.5857666,11.8999997,7.4543889,2.98876961,8.93274381,0.353369117,0.430926133,1.25938594,0.551678521,0.687521458,1.82067979,0.428638873,0,0,0,0,0,0.194086363,0.236684197,0.691711938,0.303006891,0.377617999,1,0.23542793,0,0,0,0,0
78,38,1,5,0,-0,-0,0,0,4.87,5.21400015,6.21000016,13.851,20.6400002,25.8355,37.4683332,14.8976642,7.70836593,59.4189054,0.119499299,0.0187187792,0.0115520569,0.00763766799,0.00566025562,0.00471468344,0.0037172405,0.00309293629,0.00275580795,0.00249295995,0.00200621597,0.00191430844,1,0.156643423,0.0966704996,0.0639139147,0.0473664338,0.0394536494,0.0311067976,0.025882464,0.0230612897,0.020861712,0.0167885167,0.0160194115
78,38,1,10,0,-0,-0,0,0,4.87800004,5.21533343,6.2136667,13.8441668,20.6399999,25.8446665,37.4683332,14.8958586,7.70765075,59.40788,0.197054434,0.0416274473,0.0228277526,0.0147011953,0.0126636609,0.0112375549,0.00878889153,0.00741719428,0.00664132619,0.00622792365,0.00623730133,0.00577227284,1,0.211248468,0.115844907,0.0746047426,0.0642647851,0.0570276685,0.0446013386,0.0376403318,0.033703003,0.0316050927,0.0316526819,0.0292927833
78,38,1,30,0,-0,-0,0,0,4.87800004,5.21700009,6.2090001,13.8375,20.672,25.8099997,37.3399992,14.8904976,7.7095379,59.4369747,0.405841234,0.112907591,0.0706137191,0.0544502522,0.0410771513,0.0342191049,0.0317091566,0.0235950799,0.02316768,0.0219248099,0.020106436,0.02105074,1,0.278206306,0.173993457,0.134166388,0.10121483,0.0843164816,0.0781319244,0.0581386955,0.0570855746,0.0540231205,0.0495426151,0.0518693967
78,38,1,60,0,-0,-0,0,0,4.8980001,5.20600016,6.17999996,13.9499999,20.682,25.8510004,37.2433329,14.8975102,7.72512663,59.6775814,0.563326422,0.243454838,0.143888439,0.0875100314,0.0729281092,0.070999095,0.0615439693,0.0578772069,0.0448333806,0.0493650149,0.0486143735,0.0478275095,1,0.432173654,0.255426398,0.155345157,0.12945977,0.126035443,0.10925099,0.102741865,0.0795868592,0.0876312791,0.0862987632,0.0849019462
78,38,1,300,0,-0,-0,0,0,4.92000008,5.2372001,6.94000012,14.2600002,20.5974999,25.5286667,36.9699998,14.991779,7.6282909,58.190822,1.44811709,0.399211528,0.281970924,0.218663129,0.626023379,0.312306697,0.168417876,0.201278013,0.292920301,0.321605211,0.205193806,0.117131143,1,0.275676277,0.194715556,0.150998238,0.432301631,0.215663982,0.116301283,0.138992914,0.202276669,0.222085088,0.141696971,0.0808851325
78,38,1,900,0,-0,-0,0,0,4.97800002,5.18900006,6.40866677,14.3758332,20.7025001,26.2570003,34.3433336,15.0502153,7.90814094,62.5386931,2.78895215,0.685569848,0.741725492,0.538334796,0.366257695,0.637919254,0.616709933,0.798248701,0.565114968,0.540868694,0,0,1,0.245816282,0.265951315,0.193024035,0.131324482,0.228730799,0.221126036,0.286218142,0.202626269,0.193932583,0,0
78,38,1,1800,0,-0,-0,0,0,4.99166667,5.17440007,5.93700001,13.7369998,21.8700002,26.1510004,34.3433336,15.1391111,8.43722254,71.1867243,4.40590923,1.09179502,0.721137282,0.974079999,0.746842303,1.19260421,0.556691229,0.663410884,0.195333318,0,0,0,1,0.247802432,0.16367502,0.221084899,0.169509235,0.270682883,0.126351043,0.15057298,0.0443343945,0,0,0
78,38,1,2700,0,-0,-0,0,0,4.99166667,5.1474001,5.86000009,13.9666667,22.6640004,26.5974997,28.2199999,14.8055209,8.49068073,72.0916592,5.34978611,2.23867104,1.56159294,0.900715503,1.2071351,0.712304076,0.56516502,0.782644686,0.751104148,0,0,0,1,0.418459914,0.291898201,0.168364769,0.22564175,0.133146272,0.105642545,0.146294575,0.140398912,0,0,0
78,38,1,3600,0,-0,-0,0,0,4.99166667,5.15100008,5.87700001,13.7599998,21.1950001,25.792,34.3433336,14.9628611,8.43766788,71.1942393,5.11055239,1.94933087,1.67735853,1.28327833,1.34705295,1.91949552,0.377916622,0,0,0,0,0,1,0.381432518,0.328214722,0.251103644,0.263582652,0.37559453,0.0739482924,0,0,0,0,0
79,38,1,5,0,1.46759833,1.46759833,0,0,5.18599994,5.77066674,7.67616659,14.0419999,21.4550001,24.5000002,47.5449988,15.2641118,7.78810272,60.654544,0.129085611,0.0226265641,0.0139921944,0.00892789772,0.00674724644,0.00582537123,0.00460446146,0.0043895008,0.00391803039,0.00294201408,0.00316113135,0.00272913791,1,0.175283395,0.108394688,0.0691626098,0.0522695474,0.0451279675,0.0356698275,0.0340045709,0.0303521854,0.0227911854,0.0244886423,0.0211420769
79,38,1,10,0,1.47569875,1.46759833,0.00810042617,0.00551951172,5.18599994,5.77200017,7.67733337,14.0466668,21.451,24.5298334,47.5449988,15.2659246,7.78859041,60.6621406,0.212340139,0.0456768506,0.027185405,0.0184757112,0.0151600435,0.0139258112,0.00980699027,0.00964770521,0.00895362475,0.00791136662,0.00804445274,0.00722874417,1,0.21511171,0.128027631,0.0870099794,0.0713950905,0.0655825657,0.0461852869,0.0454351459,0.0421664258,0.0372579892,0.0378847483,0.0340432298
79,38,1,30,0,1.48458478,1.46759833,0.0169864494,0.0115743178,5.19999993,5.77100005,7.64750007,14.0483335,21.4766667,24.51,47.5449988,15.2693281,7.79493631,60.7610321,0.445788118,0.117361688,0.0731123821,0.0600221904,0.0479348821,0.0402721492,0.0363744035,0.0322876091,0.0302194658,0.0254897925,0.0237226933,0.0244663857,1,0.26326787,0.164007023,0.134642867,0.107528398,0.0903392164,0.0815957224,0.0724281509,0.0677888544,0.0571791655,0.0532151764,0.0548834406
79,38,1,60,0,1.5596793,1.46759833,0.0920809695,0.0627426237,5.19999993,5.76100005,7.6424999,14.0399998,21.4983336,24.7265003,47.3440012,15.2781132,7.82602704,61.2466992,0.599985022,0.29206245,0.152063853,0.0889211853,0.0758159746,0.0848769166,0.0788520305,0.0631874826,0.0736486288,0.0537938809,0.0556801721,0.0435711939,1,0.486782902,0.253446082,0.148205675,0.126363112,0.141465059,0.131423331,0.1053151,0.122750779,0.0896587063,0.0928026035,0.0726204693
79,38,1,300,0,1.55120272,1.46759833,0.0836043971,0.0569668114,5.19999993,5.77440011,7.20166672,14.1239999,21.5700001,24.4643331,47.07,15.3071285,7.89021306,62.2554622,1.4497604,0.278651266,0.360786267,0.511410677,0.572657782,0.357925901,0.25746096,0.322347034,0.303379584,0.384310252,0.193317739,0.112002672,1,0.192205046,0.248859237,0.352755308,0.395001672,0.246886245,0.177588628,0.222345039,0.209261878,0.265085356,0.133344613,0.0772559877
79,38,1,900,0,-0,1.46759833,-1.46759833,-1,5.3499999,5.80499996,8.59750016,14.1869999,21.530833,23.8313999,35.1150006,15.1091841,7.07626801,50.0735689,2.6345907,0.652115645,0.414637982,0.450473782,0.363138626,0.402061084,0.806440796,0.45193214,0.587390989,0.361192734,0,0,1,0.247520667,0.157382315,0.170984352,0.137834931,0.152608557,0.306097185,0.171537894,0.222953414,0.137096337,0,0
